,tag,wall_time,step,value
0,keras,1721552640.535974,0,0.0
1,epoch_auc,1721553609.689559,0,0.0
2,epoch_binary_accuracy,1721553609.690983,0,0.0
3,epoch_loss,1721553609.691306,0,0.0
4,epoch_recall,1721553609.691582,0,0.0
5,epoch_learning_rate,1721553609.691998,0,0.0
6,epoch_auc,1721554548.776611,1,0.0
7,epoch_binary_accuracy,1721554548.778261,1,0.0
8,epoch_loss,1721554548.778592,1,0.0
9,epoch_recall,1721554548.778897,1,0.0
10,epoch_learning_rate,1721554548.779183,1,0.0
11,epoch_auc,1721555594.641559,2,0.0
12,epoch_binary_accuracy,1721555594.644848,2,0.0
13,epoch_loss,1721555594.645315,2,0.0
14,epoch_recall,1721555594.645686,2,0.0
15,epoch_learning_rate,1721555594.646082,2,0.0
16,epoch_auc,1721556611.289322,3,0.0
17,epoch_binary_accuracy,1721556611.291172,3,0.0
18,epoch_loss,1721556611.291491,3,0.0
19,epoch_recall,1721556611.291774,3,0.0
20,epoch_learning_rate,1721556611.292075,3,0.0
21,epoch_auc,1721557530.408901,4,0.0
22,epoch_binary_accuracy,1721557530.419808,4,0.0
23,epoch_loss,1721557530.420145,4,0.0
24,epoch_recall,1721557530.420423,4,0.0
25,epoch_learning_rate,1721557530.420704,4,0.0
26,epoch_auc,1721558458.147989,5,0.0
27,epoch_binary_accuracy,1721558458.152711,5,0.0
28,epoch_loss,1721558458.153051,5,0.0
29,epoch_recall,1721558458.153334,5,0.0
30,epoch_learning_rate,1721558458.153609,5,0.0
31,epoch_auc,1721559382.142237,6,0.0
32,epoch_binary_accuracy,1721559382.144397,6,0.0
33,epoch_loss,1721559382.144725,6,0.0
34,epoch_recall,1721559382.145019,6,0.0
35,epoch_learning_rate,1721559382.145296,6,0.0
36,epoch_auc,1721560305.673098,7,0.0
37,epoch_binary_accuracy,1721560305.674991,7,0.0
38,epoch_loss,1721560305.675308,7,0.0
39,epoch_recall,1721560305.675586,7,0.0
40,epoch_learning_rate,1721560305.675865,7,0.0
41,epoch_auc,1721561219.557952,8,0.0
42,epoch_binary_accuracy,1721561219.559357,8,0.0
43,epoch_loss,1721561219.559682,8,0.0
44,epoch_recall,1721561219.559976,8,0.0
45,epoch_learning_rate,1721561219.560245,8,0.0
46,epoch_auc,1721562118.774009,9,0.0
47,epoch_binary_accuracy,1721562118.775613,9,0.0
48,epoch_loss,1721562118.775963,9,0.0
49,epoch_recall,1721562118.776245,9,0.0
50,epoch_learning_rate,1721562118.776536,9,0.0
51,epoch_auc,1721563010.731922,10,0.0
52,epoch_binary_accuracy,1721563010.733628,10,0.0
53,epoch_loss,1721563010.733967,10,0.0
54,epoch_recall,1721563010.734244,10,0.0
55,epoch_learning_rate,1721563010.734513,10,0.0
56,epoch_auc,1721563950.443977,11,0.0
57,epoch_binary_accuracy,1721563950.447214,11,0.0
58,epoch_loss,1721563950.447634,11,0.0
59,epoch_recall,1721563950.448002,11,0.0
60,epoch_learning_rate,1721563950.448356,11,0.0
61,epoch_auc,1721564859.910748,12,0.0
62,epoch_binary_accuracy,1721564859.912639,12,0.0
63,epoch_loss,1721564859.912982,12,0.0
64,epoch_recall,1721564859.913262,12,0.0
65,epoch_learning_rate,1721564859.913537,12,0.0
66,epoch_auc,1721565775.483913,13,0.0
67,epoch_binary_accuracy,1721565775.487578,13,0.0
68,epoch_loss,1721565775.487951,13,0.0
69,epoch_recall,1721565775.488231,13,0.0
70,epoch_learning_rate,1721565775.488507,13,0.0
71,epoch_auc,1721566668.948191,14,0.0
72,epoch_binary_accuracy,1721566668.94995,14,0.0
73,epoch_loss,1721566668.950278,14,0.0
74,epoch_recall,1721566668.950572,14,0.0
75,epoch_learning_rate,1721566668.950868,14,0.0
