,auc_1,binary_accuracy,loss,recall_1,val_auc_1,val_binary_accuracy,val_loss,val_recall_1
0,0.7679013013839722,0.6929197907447815,0.6054702997207642,0.6929197907447815,0.7822776436805725,0.6950843930244446,0.7119303941726685,0.6950843930244446
1,0.804076611995697,0.7170368432998657,0.5459745526313782,0.7170368432998657,0.8286980390548706,0.735876739025116,0.5080934762954712,0.735876739025116
2,0.8105500936508179,0.7207057476043701,0.5321765542030334,0.7207057476043701,0.8280277848243713,0.7432134747505188,0.5021135210990906,0.7432134747505188
3,0.837335467338562,0.745540201663971,0.4828670620918274,0.745540201663971,0.8352169394493103,0.7442406415939331,0.48899030685424805,0.7442406415939331
4,0.8422818779945374,0.7487688660621643,0.47527778148651123,0.7487688660621643,0.8481256365776062,0.7586206793785095,0.4755689203739166,0.7586206793785095
5,0.8444185853004456,0.7503342628479004,0.4712926149368286,0.7503342628479004,0.8540107011795044,0.7640498876571655,0.469257116317749,0.7640498876571655
6,0.845795750617981,0.7486384510993958,0.46887341141700745,0.7486384510993958,0.8563000559806824,0.762435793876648,0.4628825783729553,0.762435793876648
7,0.8509768843650818,0.7567263245582581,0.4622707664966583,0.7567263245582581,0.8286762237548828,0.7283932566642761,0.5051339268684387,0.7283932566642761
8,0.8836265206336975,0.7892410755157471,0.4166872203350067,0.7892410755157471,0.9106543660163879,0.8155539035797119,0.37596312165260315,0.8155539035797119
9,0.9191145896911621,0.832257091999054,0.35266974568367004,0.832257091999054,0.9388241767883301,0.8582538366317749,0.3134225308895111,0.8582538366317749
10,0.9390988349914551,0.8590973019599915,0.30749672651290894,0.8590973019599915,0.9405977725982666,0.861188530921936,0.30364352464675903,0.861188530921936
11,0.9510167241096497,0.877816915512085,0.2740890085697174,0.877816915512085,0.9570494294166565,0.8834922909736633,0.2564205825328827,0.8834922909736633
12,0.9587622880935669,0.891921877861023,0.24900266528129578,0.891921877861023,0.9689455628395081,0.9078503251075745,0.22331121563911438,0.9078503251075745
13,0.964994490146637,0.9012327790260315,0.2282121181488037,0.9012327790260315,0.9715341329574585,0.9110785126686096,0.21047987043857574,0.9110785126686096
14,0.969429075717926,0.9098750948905945,0.21065038442611694,0.9098750948905945,0.9713567495346069,0.9121056199073792,0.2074628621339798,0.9121056199073792
15,0.9721207618713379,0.9166259169578552,0.19911567866802216,0.9166259169578552,0.978710949420929,0.9270726442337036,0.17997460067272186,0.9270726442337036
16,0.9743181467056274,0.920718789100647,0.1901794821023941,0.920718789100647,0.9701483249664307,0.9099045991897583,0.21414442360401154,0.9099045991897583
17,0.9762556552886963,0.9243714213371277,0.18127024173736572,0.9243714213371277,0.9502585530281067,0.8795304298400879,0.2699671685695648,0.8795304298400879
18,0.9775174856185913,0.9269477725028992,0.17446692287921906,0.9269477725028992,0.981814444065094,0.9345561265945435,0.16163566708564758,0.9345561265945435
19,0.9791596531867981,0.9309428334236145,0.16775551438331604,0.9309428334236145,0.9837205410003662,0.9423331022262573,0.1511753350496292,0.9423331022262573
20,0.9801350235939026,0.9319538474082947,0.1629144251346588,0.9319538474082947,0.9835342764854431,0.9423331022262573,0.14626741409301758,0.9423331022262573
21,0.9807717800140381,0.934350848197937,0.15870478749275208,0.934350848197937,0.9812415242195129,0.9323551058769226,0.160652756690979,0.9323551058769226
22,0.9817444682121277,0.937008798122406,0.15392565727233887,0.937008798122406,0.9784530401229858,0.9313279390335083,0.16816499829292297,0.9313279390335083
23,0.9821094274520874,0.9374001026153564,0.15197978913784027,0.9374001026153564,0.9848222732543945,0.9445341229438782,0.14118826389312744,0.9445341229438782
24,0.982683002948761,0.9390633702278137,0.14889824390411377,0.9390633702278137,0.9823703765869141,0.9398385882377625,0.1514478325843811,0.9398385882377625
25,0.9830952882766724,0.9397808313369751,0.14661528170108795,0.9397808313369751,0.9847471117973328,0.941746175289154,0.14688058197498322,0.941746175289154
26,0.9838823676109314,0.9411832094192505,0.1418050229549408,0.9411832094192505,0.9824631214141846,0.9386647343635559,0.15282385051250458,0.9386647343635559
27,0.9839351773262024,0.942080020904541,0.14132104814052582,0.942080020904541,0.9859768748283386,0.9474688172340393,0.13304810225963593,0.9474688172340393
28,0.984629213809967,0.9440205097198486,0.13791078329086304,0.9440205097198486,0.9839392900466919,0.9383712410926819,0.14568839967250824,0.9383712410926819
29,0.9852584004402161,0.9453412890434265,0.1344313621520996,0.9453412890434265,0.9806088805198669,0.9320616126060486,0.157607764005661,0.9320616126060486
30,0.9848741888999939,0.9440531134605408,0.13712970912456512,0.9440531134605408,0.9838978052139282,0.9386647343635559,0.14014208316802979,0.9386647343635559
31,0.9859322309494019,0.9469718933105469,0.13031181693077087,0.9469718933105469,0.9825785756111145,0.9370506405830383,0.1496760994195938,0.9370506405830383
