frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode,"steps_per_second': 16.769156188585274, 'validation","steps_per_second': 27.115533676260135, 'validation","steps_per_second': 26.289760236047137, 'validation","steps_per_second': 27.073583332122084, 'validation","steps_per_second': 13.093765937447811, 'validation","steps_per_second': 22.365308744015614, 'validation","steps_per_second': 25.59211686169588, 'validation"
0.41905767,0.105734676,0.4859322,1.1498334,0.08534564,0.053762916,1.4827701,1.4827701,1000,train,,,,,,,
,,,,,,,,1000,eval,0.0,,,,,,
0.32822254,0.098731674,0.39056337,0.9044755,0.07100684,0.015951155,1.2148966,1.2148966,2000,train,,,,,,,
,,,,,,,,2000,eval,,0.0,,,,,
0.2949524,0.09803592,0.3697996,0.84178334,0.06664506,0.012349847,1.133241,1.133241,3000,train,,,,,,,
,,,,,,,,3000,eval,,,0.0,,,,
0.261988,0.091941014,0.33414006,0.761962,0.06333551,0.010557901,1.034538,1.034538,4000,train,,,,,,,
,,,,,,,,4000,eval,,,,0.0,,,
0.24892859,0.088060655,0.3209467,0.73017436,0.062430985,0.009807384,0.9843257,0.9843257,5000,train,,,,,,,
,,,,,,,,5000,eval,,,,,0.0,,
0.23398986,0.08439552,0.31998146,0.7076255,0.06007833,0.009180532,0.9448478,0.9448478,6000,train,,,,,,,
,,,,,,,,6000,eval,,,,,,0.0,
0.22575194,0.08240184,0.26942086,0.6443437,0.057749696,0.009019929,0.86664474,0.86664474,7000,train,,,,,,,
,,,,,,,,7000,eval,,,,,,,0.0
